CÓDIGO;FREQ;SUST;Info de complementos;Funcionan sin?;SIGNIFICADO;info plus;ENUNCIADO;;;;;;;;;;;;;;;;;;;;
PHNI-0052;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;Una vez realizado su aseo, se hizo un ovillo y se echó a dormir, como si acabara de tomar posesión de nuestra casa.;;;;;;;;;;;;;;;;;;;;
PHNI-0053;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;Se hizo un ovillo en la oscuridad, rezando para que el dolor desapareciera.;;;;;;;;;;;;;;;;;;;;
PHNI-0054;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;Llegó hasta el techo y se hizo un ovillo junto a una viga. Estaba temblando.;;;;;;;;;;;;;;;;;;;;
PHNI-0055;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;El ratón gris, tendido a sus pies, soltó un bostezo, se hizo un ovillo y cerró los ojos.;;;;;;;;;;;;;;;;;;;;
PHNI-0056;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;Liviano se puso rígido y empezó a balancearse haciéndose un ovillo;;;;;;;;;;;;;;;;;;;;
PHNI-0057;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;Oliva pegó su cara a mi brazo, se hizo un ovillo y se durmió enseguida.;;;;;;;;;;;;;;;;;;;;
PHNI-0058;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;Por fortuna, en lugar de reírse, Clara se arrimó a mí, se hizo un ovillo en mis brazos y me besó.;;;;;;;;;;;;;;;;;;;;
PHNI-0059;1;ovillo;⍬;Sí;encojido, enroscado;IDIOM;Sollozando y mirando el fuego que comenzaba a apagarse, se hizo un ovillo en el suelo.;;;;;;;;;;;;;;;;;;;;
PHNI-0060;1;pelota;⍬;Sí;encojido, enroscado;;la fiera que había sido Manolo y que ahora le hacía esconderse haciéndose una pelota en una esquina, o delante de una pared, deseando no ser visto,;;;;;;;;;;;;;;;;;;;;
PHNI-0061;1;penélope;⍬;Sí;personaje de La iliada: fiel paciente;nombre propio;La remitente, que imagina perfectamente la escena mientras la escribe, es perfectamente consciente de que está tejiendo una red de palabras para intentar atraparlo, de que ya empieza a dejar de ser Sherezade para hacerse una Penélope, una araña que teje con el hilo de Ariadna;;;;;;;;;;;;;;;;;;;;
PHNI-0062;1;perro;irreconocible;Sí;despreciable, desconocido;; Lástima que los mocos me taponen la nariz y que la intemperie haya curtido mi piel hasta hacerme un perro irreconocible.;;;;;;;;;;;;;;;;;;;;
PHNI-0063;1;propagandista;del sindinismo;Sí;;;Aquellas dos -que no pecaban precisamente de feas- se hicieron unas propagandistas del sindinismo,;;;;;;;;;;;;;;;;;;;;
PHNI-0064;1;realidad;⍬;Sí;real,factible, efectivo;;El nuevo tren deberá hacerse una realidad en 2007.;;;;;;;;;;;;;;;;;;;;
PHNI-0065;1;realidad;⍬;Sí;real,factible, efectivo;;La historia del filme 'Junior', en la que una mujer de edad avanzada almacena sus óvulos, salió de la pantalla gigante para hacerse una realidad en Colombia con el nacimiento el pasado 8 de enero de Gabriela;;;;;;;;;;;;;;;;;;;;
PHNI-0066;1;realidad;⍬;Sí;real,factible, efectivo;;Por aquellos días el arte del disimulo tuvo que hacerse una realidad en la librería también.;;;;;;;;;;;;;;;;;;;;
PHNI-0067;1;realidad;⍬;Sí;real,factible, efectivo;;se firmó en la ciudad holandesa de Maastricht el Tratado de Unión Europea (TUE), en el que se estableció la creación de la Unión Económica y Monetaria (UEM), cuya moneda común -el euro- debía hacerse una realidad a más tardar en el 2002.;;;;;;;;;;;;;;;;;;;;
PHNI-0068;1;realidad;⍬;Sí;real,factible, efectivo;;Pasar a la siguiente ronda de la Copa de Campeones de la Concacaf, será como un sueño, pero que puede hacerse una realidad.;;;;;;;;;;;;;;;;;;;;
PHNI-0069;1;río;salvaje;SÍ;enloquecido;;"Braulio Ortiz relata en ""Francis Bacon se hace un río salvaje"" los monólogos de una chica anoréxica; ";;;;;;;;;;;;;;;;;;;;
PHNI-0070;1;señor;⍬;Sí;adulto respetable;;Y un buen día ese muco que después se haría un señor, que tuvo un niño al que puso Manolo al que más tarde llamarían Mamao, s;;;;;;;;;;;;;;;;;;;;
PHNI-0071;1;niño;callado;SUSTANTIVO COMPUESTO;;de PHNIS;Después de oír aquel cuento me hice un niño callado y hábil.;;;;;;;;;;;;;;;;;;;;
PHNI-0072;1;director;famoso;SUSTANTIVO COMPUESTO;;de PHNIS;Todo empezó en 1897, cuando el compositor ruso terminó su Primera sinfonía. Aunque con el tiempo se hizo un director de orquesta (y pianista) famoso;;;;;;;;;;;;;;;;;;;;
PHNI-0073;1;mujer;fuerte;SUSTANTIVO COMPUESTO;;de PHNIS; porque a su lado me hice una mujer más fuerte,;;;;;;;;;;;;;;;;;;;;
PHNI-0074;1;periodista;importante;SUSTANTIVO COMPUESTO;;de PHNIS;Así me hice un periodista importante. ;;;;;;;;;;;;;;;;;;;;
PHNI-0075;1;instrumento;imprescindible;SUSTANTIVO COMPUESTO;;de PHNIS;Así fue como el cajón evolucionó hasta hacerse un instrumento imprescindible para la interpretación de la marinera,;;;;;;;;;;;;;;;;;;;;
PHNI-0076;1;chico;maduro;SUSTANTIVO COMPUESTO;;de PHNIS;"y, mientras ella crecía hasta hacerse una chica madura, yo iba envejeciendo; ";;;;;;;;;;;;;;;;;;;;
PHNI-0077;1;chico;popular;SUSTANTIVO COMPUESTO;;de PHNIS;" Me sirvió de algo, pues me hice una chica popular""";;;;;;;;;;;;;;;;;;;;
PHNI-0078;1;hombre;tolerante;SUSTANTIVO COMPUESTO;;de PHNIS;lo importante que aportó él está pasado el momento de su fogosa juventud, y se hizo un hombre tolerante y culto donde los haya, ;;;;;;;;;;;;;;;;;;;;
PHNI-0079;1;niño;sin alma;SUSTANTIVO COMPUESTO;triste, taciturno, cruel, despiadado;de PHNIS;Había encontrado los ingredientes para hacerme un niño sin alma.;;;;;;;;;;;;;;;;;;;;
PHNI-0080;1;chico;piadoso;SUSTANTIVO COMPUESTO;;; Pero no crea usted que por eso me hice un chico piadoso, ;;;;;;;;;;;;;;;;;;;;
PHNI-0081;1;instrumento;filoso;SUSTANTIVO COMPUESTO;;;Mis manos se hicieron un instrumento filoso ;;;;;;;;;;;;;;;;;;;;
PHNI-0082;1;hombre;;SUSTANTIVO COMPUESTO;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
