código;freq;nombre;info de complementos;Funcionan sin?;INFO;METAFORICO;SIGNIFICA;DISTANCIA;fuente;meta;enunciado;;;;;;;;;;;;;;;;;;
PVNI-0062;1;bola;pequeña miope;sí;;sí;;;;;"Hay que truquear; volverse una bola pequeña miope; mojarse hasta dentro de los oídos y por debajo de los párpados, para descansar. ";;;;;;;;;;;;;;;;;;
PVNI-0063;1;bólido;⍬;Sí;;sí;;;;;La historia, después de andar tantos años a paso de tortuga, de pronto, gracias a Cuba, se volvió un bólido. ;;;;;;;;;;;;;;;;;;
PVNI-0064;1;bufón;⍬;Sí;;sí;;;;;El intelectual sólo interesa si sigue el juego de moda y se vuelve un bufón, escribe Vargas Llosa ;;;;;;;;;;;;;;;;;;
PVNI-0065;1;bufón;⍬;Sí;;sí;;;;;He tenido que volverme un bufón para poder sobrevivir en este mundo. Todos somos unos muertos vivientes. El pasado era maravilloso. ¿Dónde me perdí?;;;;;;;;;;;;;;;;;;
PVNI-0066;1;bufón;⍬;Sí;;sí;;;;;Porque en la civilización del espectáculo el intelectual sólo interesa si sigue el juego de moda y se vuelve un bufón.;;;;;;;;;;;;;;;;;;
PVNI-0067;1;bufón;⍬;Sí;;sí;;;;;"El intelectual sólo interesa si sigue el juego de moda y se vuelve un bufón"", dice el escritor";;;;;;;;;;;;;;;;;;
PVNI-0068;1;bultos;⍬;Sí;;sí;;;;;Con esa bobada del mundial de fúrbol los hombres se vuelven unos bultos al pié del televisor... ;;;;;;;;;;;;;;;;;;
PVNI-0069;1;burbuja;de espuma;sí;;sí;;;;;Que sepa que él es un buen chico y para demostrarlo le permitirá frotar su cuerpo hasta volverse una burbuja de espuma gigantesca.;;;;;;;;;;;;;;;;;;
PVNI-0070;1;burdel;⍬;Sí;;sí;;;;;Mi vida se volvió un burdel, tocaban la puerta, buscando mi talento, ponían un precio y yo pintaba en una vorágine ininterrumpida.;;;;;;;;;;;;;;;;;;
PVNI-0071;1;burócrata;acomodaticio;sí;;sí;;;;; Y casi es un principio universal, que el asalariado gubernamental, se vuelve un burócrata acomodaticio, con una mentalidad política atrofiada.;;;;;;;;;;;;;;;;;;
PVNI-0072;1;cactus;más;sí;;sí;;;;;" el personaje al fin de cuentas se vuelve un cactus más en el desierto"", concluye Meyer.";;;;;;;;;;;;;;;;;;
PVNI-0073;1;cadáver;viviente;sí;;sí;;;;;A veces, preferiría terminar de volverme un cadáver viviente, ;;;;;;;;;;;;;;;;;;
PVNI-0074;1;caída;larga;Sí;;sí;;;;;hasta que el equilibrio en números rojos se volvió una caída larga que pareció durar toda una junta ejecutiva.;;;;;;;;;;;;;;;;;;
PVNI-0075;1;caja;que limita;Sí;;sí;;;;;Esto implica que lo que vemos inicialmente se vuelve una caja que limita la percepción. No apreciamos frecuentemente este hecho porque las paredes de nuestra celda están hechas con infinidad de estampas: estrellas, árboles, montañas, lagunas, gatos y serpientes. ;;;;;;;;;;;;;;;;;;
PVNI-0077;1;calvario;⍬;Sí;;sí;;;;; El tratamiento [...] se volvía un calvario, agravando aún más sus sufrimientos.;;;;;;;;;;;;;;;;;;
PVNI-0078;1;cambio;drástico;sí;;sí;;;;;como voz cantante de lo que pretendió volverse un cambio drástico.;;;;;;;;;;;;;;;;;;
PVNI-0079;1;camino;de tierra;sí;;no;;;;;La carretera se volvió un camino de tierra apenas trazado, que se elevaba y descendía a través de cerros boscosos y praderas.;;;;;;;;;;;;;;;;;;
PVNI-0080;1;campo;minado;SUSTANTIVO COMPUESTO;;SÍ;peligroso;mucha;parque;campo minado;Maestro, vámonos que anocheció y este parque a oscuras se vuelve un campo minado y no hay por donde andar: puro atracador, asesino, travesti...;;;;;;;;;;;;;;;;;;
PVNI-0686;1;campo;elegórico;SUSTANTIVO COMPUESTO;de PVNIS;sí;elgóricas;mucha; imágenes;campo;"Imágenes de África como ""tierra de los ancestros"" y raíz se vuelven un campo alegórico variado y articulado con la historia de resistencia de los africanos en el suelo americano ";;;;;;;;;;;;;;;;;;
PVNI-0081;1;camposanto;⍬;Sí;;sí;;;;;En la guerrilla todos le sacamos el cuerpo a la cuidada de los rehenes en diciembre porque el campamento se vuelve un camposanto:;;;;;;;;;;;;;;;;;;
PVNI-0082;1;cáncer;⍬;Sí;;sí;;;;;Lo que traería como consecuencia el caos social, y dicho estamento egoísta se volvería un cáncer, en los términos médicos que permite una noción social basada en la idea de cuerpo.;;;;;;;;;;;;;;;;;;
PVNI-0083;1;canica;pequeña;Sí;;sí;;;;; Su cara se vuelve una canica pequeña en su cuerpo enorme.;;;;;;;;;;;;;;;;;;
PVNI-0084;1;caos;⍬;Sí;;sí;;;;; Si el principio de autoridad se soslaya, la sesión podría volverse un caos.;;;;;;;;;;;;;;;;;;
PVNI-0085;1;caos;⍬;Sí;;sí;;;;;La plaza se vuelve un caos, la gente comienza a huir.;;;;;;;;;;;;;;;;;;
PVNI-0086;1;caos;⍬;Sí;;sí;;;;; vio cómo todo se volvía un caos. ;;;;;;;;;;;;;;;;;;
PVNI-0087;1;caos;⍬;Sí;;sí;;;;;es una máscara de cuero que se pone rápidamente, del mismo cajón saca un látigo, lo empuña y todo se vuelve un caos.;;;;;;;;;;;;;;;;;;
PVNI-0088;1;caos;⍬;Sí;;sí;;;;;que tras desprenderlo, todo se vuelve un caos.;;;;;;;;;;;;;;;;;;
PVNI-0089;1;caos;⍬;Sí;;sí;;;;;si los agentes de migración se basaran en apariencias o simples sospechas, las fronteras se volverían un caos ;;;;;;;;;;;;;;;;;;
PVNI-0090;1;caos;⍬;Sí;;sí;;;;;Pensaba que si todo el mundo tuviese que huir de sus responsabilidades, el universo se volvería un caos,;;;;;;;;;;;;;;;;;;
PVNI-0091;1;caos;⍬;Sí;;sí;;;;;Pero hubo semanas, casi meses, en los que él no aparecía, todo se volvía un caos. Dejaba de comer, lloraba por los rincones, fumaba violentamente, bebía hasta emborracharse. ;;;;;;;;;;;;;;;;;;
PVNI-0092;1;caos;⍬;Sí;;sí;;;;;Cada fecha de vencimiento se vuelve un caos porque las personas de otros municipios prefieren abonar aquí, por el bajo costo de los aranceles,;;;;;;;;;;;;;;;;;;
PVNI-0682;1;característica;distintivo;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; algo;característica distintiva;Las fachadas y cuerpos escalonados de las grandes plataformas fueron revestidos con piedras de canto rodado y dotados de combinaciones de elementos arquitectónicos como escalinatas, muros con talud, que se vuelven una característica distintiva en el clásico temprano, ;;;;;;;;;;;;;;;;;;
PVNI-0093;1;carga;⍬;Sí;IDOM;sí;;;;;" ""Con el paso del tiempo, Gérard se volvió una carga para ella, pues empezó a pedirle pequeñas cantidades de dinero.""";;;;;;;;;;;;;;;;;;
PVNI-0094;1;carga;⍬;Sí;IDOM;sí;;;;; Se vuelven una carga, y a la zaga de la manada, su suerte es resuelta por las hienas,;;;;;;;;;;;;;;;;;;
PVNI-0095;1;carga;pesada;Sí;;sí;;;;;" La piel me pesaba como si los huesos viejos la hubiesen malgastado, a fuerza de volverse una carga pesada que estira y estira su envoltorio, deseosa de caer al suelo y de volverse parte de la tierra al fin. "", ";;;;;;;;;;;;;;;;;;
PVNI-0096;1;carrusel;⍬;Sí;;sí;;;;;Cuando la vida se vuelve un carrusel y a uno Le dan ganas de bajarse de él para ver qué hay afuera;;;;;;;;;;;;;;;;;;
PVNI-0097;1;carta;clave;SUSTANTIVO COMPUESTO;;SÍ;clave;mucha;algo;carta clave;De allí que la prórroga de las Preferencias Arancelarias Andinas (Atpdea) se volvió una carta clave de negociación para Colombia y Perú.;;;;;;;;;;;;;;;;;;
PVNI-0098;1;casal;⍬;Sí;;sí;;;;;Los dos muchachos pronto se volvieron un casal, y Stasi llegó a pensar en matarlos.;;;;;;;;;;;;;;;;;;
PVNI-0099;1;castillo;posible;Sí;;sí;;;;;Fue importante para Alejandra recibir esa cantidad de palabras, y decirlas, y dejar que tantas palabras se volvieran un castillo posible de ORDEN.;;;;;;;;;;;;;;;;;;
PVNI-0100;1;caudal;de voces;SUSTANTIVO COMPUESTO;cuantificador;SÍ;descontrolado;mucha;coro;caudal;El Coro, al participar en la obra dentro de la obra, se vuelve un caudal de voces sin concierto y trayectorias erráticas, en contraste con sus anteriores intervenciones.;;;;;;;;;;;;;;;;;;
PVNI-0101;1;causa;con  fuerza;SUSTANTIVO COMPUESTO;;NO;;poca;algo;causa con fuerza;la noción freudiana de escena primordial, y se vuelve una causa con fuerza retroactiva.;;;;;;;;;;;;;;;;;;
PVNI-0102;1;celaje;brumoso;sí;;sí;;;;;El agua caliente cae a raudales, y mientras cae va calentándose más y más, hasta que el baño se vuelve un celaje brumoso por el vapor del agua hirviente. ;;;;;;;;;;;;;;;;;;
PVNI-0104;1;centro;⍬;Sí;;sí;;;;;Desafortunadamente, siento que sí hay personas que quieren que su cultura se vuelva un centro derrocando a otros.;;;;;;;;;;;;;;;;;;
PVNI-0105;1;centro;de cultura;SUSTANTIVO COMPUESTO;;NO;;poca;ciudad;cenmtro de cultura;A mí me parece que después de esta Feria habrá otras, y Santa Cruz de la Sierra ya puede volverse un centro de cultura importante.;;;;;;;;;;;;;;;;;;
PVNI-0781;1;centro;regional;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca;ciudad;centro regional;Durante el siglo VII d.C., Copán se vuelve un centro regional mayor en lo político, lo económico y lo religioso.;;;;;;;;;;;;;;;;;;
PVNI-0106;1;cerdo;⍬;Sí;;sí;;;;;(Abre otro paquete de comida chatarra) ¿Si me vuelvo un cerdo o una morsa gigantesca me vas a seguir amando, mamá?;;;;;;;;;;;;;;;;;;
PVNI-0107;1;charco;de grasa;sí;;sí;;;;;se disgregará Nono volviéndose un charco de grasa amarillenta bajo las suelas de sus zapatos descalzos.;;;;;;;;;;;;;;;;;;
PVNI-0698;1;chef;experto;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca;chef;chef esxperto;Antonio se volvió un chef experto en cocina brasilera:;;;;;;;;;;;;;;;;;;
PVNI-0703;1;chico;extrovertido;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca; chica;cahica extrovertida;mi personalidad cambió radicalmente: me volví una chica extrovertida,;;;;;;;;;;;;;;;;;;
PVNI-0762;1;chico;pálido;SUSTANTIVO COMPUESTO;de PVNIS;no;;poca;chica;chica pálida; Ella se encierra en la biblioteca para ser como las chicas de los libros y alcanzar su sueño eterno de volverse una chica pálida y tensa, pero capaz de superarlo.;;;;;;;;;;;;;;;;;;
